date,number of people
2020-02-05,1
2020-02-06,1
2020-02-09,1
2020-02-10,1
2020-02-12,3
2020-02-15,2
2020-02-17,1
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,1
2020-02-24,4
2020-02-26,2
2020-02-27,3
2020-02-28,1
2020-02-29,2
2020-03-01,1
2020-03-02,4
2020-03-03,11
2020-03-04,17
2020-03-05,7
2020-03-06,9
2020-03-07,5
2020-03-08,4
2020-03-09,5
2020-03-10,8
2020-03-11,22
2020-03-12,15
2020-03-13,29
2020-03-14,34
2020-03-15,12
2020-03-16,37
2020-03-17,26
2020-03-18,42
2020-03-19,65
2020-03-20,71
2020-03-21,33
2020-03-22,44
2020-03-23,48
2020-03-24,39
2020-03-25,56
2020-03-26,55
2020-03-27,37
2020-03-28,42
2020-03-29,44
2020-03-30,27
2020-03-31,16
2020-04-01,28
2020-04-02,26
2020-04-03,30
2020-04-04,26
2020-04-05,23
2020-04-06,15
2020-04-07,17
2020-04-08,22
2020-04-09,37
2020-04-10,21
2020-04-11,21
2020-04-12,14
2020-04-13,14
2020-04-14,13
2020-04-15,15
2020-04-16,17
2020-04-17,15
2020-04-18,12
2020-04-19,10
2020-04-20,5
2020-04-21,12
2020-04-22,19
2020-04-23,4
2020-04-24,12
2020-04-25,9
2020-04-26,5
2020-04-27,10
2020-04-28,10
2020-04-29,18
2020-04-30,5
2020-05-01,9
2020-05-02,6
2020-05-03,6
2020-05-04,6
2020-05-05,8
2020-05-06,6
2020-05-07,6
2020-05-08,11
2020-05-09,2
2020-05-10,6
2020-05-11,9
2020-05-12,11
2020-05-13,5
2020-05-14,4
2020-05-15,8
2020-05-16,5
2020-05-17,4
2020-05-18,2
2020-05-19,12
2020-05-20,1
2020-05-21,2
2020-05-22,8
2020-05-23,2
2020-05-24,1
2020-05-26,3
2020-05-27,6
2020-05-28,2
2020-05-29,4
2020-05-30,2
2020-05-31,1
2020-06-02,1
2020-06-03,1
2020-06-04,2
2020-06-05,1
2020-06-06,2
2020-06-07,6
2020-06-08,1
2020-06-09,2
2020-06-10,2
2020-06-11,1
2020-06-12,2
2020-06-13,2
2020-06-15,3
2020-06-16,1
2020-06-17,1
2020-06-18,1
2020-06-19,3
2020-06-21,1
2020-06-23,1
2020-06-24,2
2020-06-25,9
2020-06-26,3
2020-06-28,2
